data_set,ds_index,id,description,assembly_accession,assembly_uid
konstantinidis_2005,0,GCF_000008865.2,"Escherichia coli O157:H7 str. Sakai DNA, complete genome",GCF_000008865.2,1755381
konstantinidis_2005,1,GCF_000732965.1,"Escherichia coli O157:H7 str. EDL933 chromosome, complete genome",GCF_000732965.1,199821
konstantinidis_2005,2,GCF_000005845.2,"Escherichia coli str. K-12 substr. MG1655, complete genome",GCF_000005845.2,79781
konstantinidis_2005,3,GCF_014262945.1,Escherichia coli CFT073 (E. coli),GCF_014262945.1,7926251
konstantinidis_2005,4,GCF_000007405.1,Shigella flexneri 2a str. 2457T,GCF_000007405.1,28988
konstantinidis_2005,5,GCF_000006925.2,Shigella flexneri 2a str. 301,GCF_000006925.2,326318
konstantinidis_2005,6,GCF_000006945.2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,GCF_000006945.2,619341
konstantinidis_2005,7,GCF_000007545.1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,GCF_000007545.1,29128
konstantinidis_2005,8,GCF_003429465.1,Salmonella enterica subsp. enterica serovar Typhi,GCF_003429465.1,1904971
konstantinidis_2005,9,GCF_000252995.1,Salmonella bongori NCTC 12419,GCF_000252995.1,441718
konstantinidis_2005,10,GCF_000006645.1,Yersinia pestis KIM10+,GCF_000006645.1,28228
konstantinidis_2005,11,GCF_000009065.1,Yersinia pestis CO92,GCF_000009065.1,30608
konstantinidis_2005,12,GCF_009295985.1,Yersinia pestis subsp. pestis bv. Medievalis,GCF_009295985.1,5025231
konstantinidis_2005,13,GCF_000987925.1,Yersinia enterocolitica ASM98792v1,GCF_000987925.1,329781
konstantinidis_2005,14,GCF_013488025.1,Pectobacterium carotovorum,GCF_013488025.1,7392621
konstantinidis_2005,15,GCF_000007565.2,Pseudomonas putida KT2440,GCF_000007565.2,654861
konstantinidis_2005,16,GCF_000006765.1,Pseudomonas aeruginosa PAO1,GCF_000006765.1,28348
konstantinidis_2005,17,GCF_000007805.1,Pseudomonas syringae pv. tomato str. DC3000,GCF_000007805.1,29388
konstantinidis_2005,18,GCF_000008805.1,Neisseria meningitidis MC58,GCF_000008805.1,30388
konstantinidis_2005,19,GCF_000009465.1,Neisseria meningitidis FAM18,GCF_000009465.1,31008
konstantinidis_2005,20,GCF_000009105.1,Neisseria meningitidis Z2491,GCF_000009105.1,30648
konstantinidis_2005,21,GCF_000006845.1,Neisseria gonorrhoeae FA 1090,GCF_000006845.1,28428
konstantinidis_2005,22,GCF_000195715.1,Bordetella pertussis Tohama I,GCF_000195715.1,264178
konstantinidis_2005,23,GCF_000195675.1,Bordetella bronchiseptica RB50,GCF_000195675.1,264138
konstantinidis_2005,24,GCF_000317935.1,Bordetella parapertussis Bpp5,GCF_000317935.1,504818
konstantinidis_2005,25,GCF_006094295.1,Bacillus cereus ATCC 14579,GCF_006094295.1,3320791
konstantinidis_2005,26,GCF_000008005.1,Bacillus cereus ATCC 10987,GCF_000008005.1,29588
konstantinidis_2005,27,GCF_000008445.1,"Bacillus anthracis str. 'Ames Ancestor', complete sequence",GCF_000008445.1,30028
konstantinidis_2005,28,GCF_000833045.1,Bacillus cereus E33L,GCF_000833045.1,250401
konstantinidis_2005,29,GCF_000008585.1,Mycobacterium tuberculosis CDC1551,GCF_000008585.1,30168
konstantinidis_2005,30,GCF_000195955.2,"Mycobacterium tuberculosis H37Rv, complete genome",GCF_000195955.2,538048
konstantinidis_2005,31,GCF_005156105.1,Mycobacterium tuberculosis variant bovis,GCF_005156105.1,2757601
konstantinidis_2005,32,GCF_003640565.1,Mycobacterium avium,GCF_003640565.1,2014161
konstantinidis_2005,33,GCF_000011285.1,Streptococcus pyogenes SSI-1,GCF_000011285.1,32448
